artist_id,artist_name,artist_popularity,artist_genres,artist_followers
4Gso3d4CscCijv0lmajZWs,Don Toliver,84,['rap'],2869119
7Kt7O3A8zdjcCYPFopGTiY,Sharc,54,[],7009
1MUV2xrrCkG9mhZyVUDGEy,Sodikken,54,"['otacore', 'pixel', 'pov: indie']",179785
0NB5HROxc8dDBXpkIi1v3d,Remi Wolf,65,"['indie pop', 'modern alternative pop']",370594
0u2FHSq3ln94y5Q57xazwf,Keith Urban,71,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",5116861
3eVa5w3URK5duf6eyVDbu9,ROSÉ,66,['k-pop'],3919236
7HaSqpaqnOWSaqvezpdhX4,TileKid,55,[],16660
4pfy05cNNTacuOQ6SiSu4v,Lyn Lapid,60,['gen z singer-songwriter'],402213
0vUp0HrA2d7mcExuf5Wbo6,Eniola Abioye,48,[],1045
45TgXXqMDdF8BkjA83OM7z,Rod Wave,78,['florida rap'],4803345
02kJSzxNuaWGqwubyUba0Z,G-Eazy,75,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",5165528
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,81,['canadian contemporary r&b'],4077021
3L8lia6SiogIvkEl2qQ32d,Gaea Antoniou,50,['sleep'],341
64EHXDoln95lnccszdPum0,Royal & the Serpent,61,"['alt z', 'indie electropop', 'modern alternative pop']",192322
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,73,"['modern alternative rock', 'modern rock', 'stomp pop']",2867103
0xbFeNL2mGn3piQX1Xpsf4,Emily Rohm,47,[],3240
58eJhHRICp87T2IFcP0bYh,Slush Puppy,50,['socal indie'],56021
2as15AH2BTrPk8v4gyElmr,Rhenzy Feliz,58,[],2536
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,82,"['alternative hip hop', 'modern rock', 'rock']",10434626
5H6xmHXjsq98NLbEjuE29f,NEIKED,64,['scandipop'],164078
7htQnykNfk2Bu39bSw7owz,ame,65,[],828
1GKIlPFdcewHtpDVCQ8zmJ,Brray,75,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",245700
4o0NtnL2m0lzZmEdRas1qv,Ovi,71,"['corrido', 'corridos tumbados', 'sad sierreno', 'trap latino', 'urbano latino']",968835
50co4Is1HCEo8bhOyUWKpn,Young Thug,85,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",8305010
2TcGJdSOiOvITBzhvfX8XB,Shouse,70,['aussietronica'],117083
1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,72,"['r&b', 'uk contemporary r&b']",3115741
5rjz63sgMaAUAyBMyCUK5D,Avery Anna,53,['modern country pop'],77832
2cFrymmkijnjDg9SS92EPM,blackbear,77,"['alt z', 'pop']",4858037
4G1zP5i0r57g1c1CxrPhfM,ZillaKami,68,['dark trap'],406939
3p3jPcp8b7WL9XYj4xlsWj,Snow Tha Product,63,"['alternative r&b', 'rap latina', 'trap queen']",592673
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,79,"['kentucky hip hop', 'r&b', 'rap']",6940971
2TYRz7cFNZNPLUWRijsJNL,Kal Banx,49,[],1804
