track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1SC5rEoYDGUK4NfG82494W,0.593,0.503,-6.725,0.22,0.293,0.0,0.405,0.71,178.781,137704
06q3sUgkq2k7uhdsi1fczX,0.79,0.66,-5.677,0.248,0.399,0.0,0.104,0.652,143.904,163156
6HIIuuUIEzH1meVdGbMXyf,0.436,0.4,-6.521,0.11,0.463,0.0,0.76,0.568,75.576,189050
0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,-6.466,0.168,0.00904,9.48e-05,0.258,0.212,118.029,226653
1WQ40xJSvgDmD9K7ckJwux,0.456,0.679,-4.802,0.0324,0.176,0.0,0.103,0.483,184.075,212030
2tUL6dZf1mywCj5WvCPZw6,0.84,0.744,-4.751,0.113,0.0181,0.0,0.629,0.171,83.737,204347
7FGdjbZ32vMybPuP0IuE7d,0.759,0.538,-8.256,0.384,0.151,0.0,0.126,0.831,146.933,184490
2CYVETnhM9aytqrazYYwrK,0.66,0.817,-6.269,0.0521,0.162,0.0,0.0667,0.714,135.942,277592
53tv6ZbyeAwfAUwFaxYbfO,0.841,0.672,-5.557,0.371,0.0122,0.0,0.321,0.599,157.026,146845
5XsAal7ZcWg1I5T4NcRjkv,0.403,0.159,-16.728,0.104,0.961,0.0121,0.34,0.0381,72.38,234761
5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,-7.395,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353
2Q9nA56DKKJhj4cHMbHlAS,0.752,0.55,-7.166,0.362,0.172,0.0148,0.14,0.405,174.073,178131
2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,-10.706,0.0898,0.753,0.0,0.219,0.269,88.485,202827
6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,-3.838,0.114,0.0514,0.0,0.349,0.813,106.017,173182
7BgyWwbbybJr2IbQoI1gzH,0.534,0.288,-13.232,0.0331,0.195,5.21e-05,0.182,0.516,139.922,164571
00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,-4.806,0.053,0.0361,0.0,0.0755,0.688,97.014,193507
5mt882Eqx22RwFOTE01jS8,0.825,0.234,-14.202,0.495,0.235,9.54e-06,0.0696,0.18,77.487,111484
3zc8VZEpM1onYV4FWGdFvm,0.55,0.637,-5.212,0.163,0.597,0.0,0.129,0.535,84.448,160078
4pt5fDVTg5GhEvEtlz9dKk,0.75,0.608,-4.008,0.0387,0.00165,0.0,0.178,0.958,132.507,173347
4fPjI40ElIwJQ4DJJxSCOe,0.727,0.58,-11.094,0.192,0.0372,0.00377,0.0596,0.75,114.21,67638
7CC6UbCs4iGsePSzFxYxNn,0.319,0.236,-9.644,0.0318,0.898,1.62e-05,0.272,0.254,162.351,156091
40uMIn2zJLAQhNXghRjBed,0.797,0.631,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,184213
4eDE92gbf1iKImxBIKS64V,0.747,0.801,-5.826,0.334,0.0287,2.97e-05,0.441,0.707,167.077,149461
1ITpqT1kDATCtMBwOK7sYn,0.896,0.377,-5.502,0.0935,0.0123,1.43e-06,0.115,0.255,113.886,136573
3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,-3.906,0.046,0.091,0.0,0.0264,0.55,88.098,225149
