track_id,track_name,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_popularity
03VogLVNK4G4LDXEfP5mdO,Arcana,128505,0.423,0.973,-4.674,0.0579,7.83e-05,0.909,0.348,0.149,94.016,12
2mOgz38YkByMHtL0PiaQbZ,Brain Power - Long Version,367803,0.333,0.994,-0.34,0.0761,3.63e-05,0.0,0.345,0.474,170.628,27
4zjOBQYdJrNadhR7NFRhg5,桜ノ雨,368933,0.538,0.606,-5.089,0.0277,0.331,0.0,0.342,0.466,155.913,14
6n6Kf8A4uKIpRNCm68yYBw,future base,183500,0.585,0.768,-5.949,0.0418,0.0164,0.00438,0.186,0.439,174.009,23
2NW8h8khVaUcV7Z7yzc2kA,月の光,267104,0.356,0.0239,-29.67,0.0429,0.991,0.935,0.0783,0.0622,133.576,10
1YNDCC2X8cYG9q0ItA1ikt,Sqlupp,148133,0.516,0.921,-5.067,0.0406,0.000348,0.974,0.108,0.883,91.514,16
3vNDbyqOqO8u0YBkBZkltU,Beat It Beep,114462,0.525,0.953,-4.743,0.0462,7.28e-06,0.874,0.154,0.871,138.985,9
6gXi3qWRzd8489Q1ScyMcF,Dogs - Full Ver.,157860,0.709,0.955,-4.265,0.0697,0.0926,0.0,0.091,0.673,137.996,1
0OeXr734CBHXOgvxnibbYQ,てらてら - VOCALOID ver.,199583,0.552,0.856,-4.921,0.15,0.0109,0.0,0.308,0.943,94.868,40
489TueuvPWRhTPqp9aU9NR,Reach For The Stars - Re-Colors,255027,0.438,0.994,-3.339,0.0617,7.94e-05,0.000119,0.353,0.71,101.503,40
6tRyJQ5ndFTAcNSycmfk2P,オーケー?オーライ!,293307,0.476,0.945,-3.975,0.0678,0.000131,0.00162,0.313,0.618,150.071,3
3M90GtFYtejpzDd8AJEZLa,Counselor,145893,0.656,0.895,-4.04,0.0689,0.299,0.0,0.0665,0.725,134.977,15
4wnYEx2f68MzAklal7XiRp,Hoshizora Spectacle,162133,0.504,0.934,-5.914,0.0967,0.000836,0.857,0.687,0.148,100.081,8
07ar7rYlFwzJhbvQTTuu14,六兆年と一夜物語 (feat. 星乃一歌&初音ミク),215686,0.544,0.952,-4.179,0.0645,0.00842,5.57e-06,0.121,0.648,92.954,51
4yMaliM63X2emxrSVRQiBM,永遠にゲームで対戦したいキリタン,329524,0.634,0.914,-5.357,0.0483,0.178,0.0361,0.0549,0.6,125.962,30
6oFRIC3QzIKsspsyHefNDM,Violetism,264324,0.649,0.898,-4.861,0.116,0.0104,0.0225,0.122,0.707,148.079,8
