artist_genres,artist_id
contemporary country,3RqBeV12Tt7A8xH3zBDDUF
country,3RqBeV12Tt7A8xH3zBDDUF
australian pop,2NjfBq1NflQcKSeiDooVjY
alternative r&b,6qgnBH6iDM91ipVXv28OMu
escape room,6qgnBH6iDM91ipVXv28OMu
indie soul,6qgnBH6iDM91ipVXv28OMu
lgbtq+ hip hop,6qgnBH6iDM91ipVXv28OMu
canadian metalcore,4MzJMcHQBl9SIYSjwWn8QW
melodic metalcore,4MzJMcHQBl9SIYSjwWn8QW
cali rap,31t9hT68QYCDPWkkUVrQjY
pop,04gDigrS5kc9YWfZHwBETP
chill abstract hip hop,53xeKWbSRuGgTxViJTAZKC
experimental hip hop,53xeKWbSRuGgTxViJTAZKC
brostep,4fv1OFJywZ7DHCz3mVQQ45
pop,4npEfmQ6YuiwW1GpUmaq3F
detroit trap,45gHcnDnMC15sgx3VL7ROG
trap,45gHcnDnMC15sgx3VL7ROG
anime phonk,1GzMtNyLiP1oM7yW0DyRhP
chill phonk,1GzMtNyLiP1oM7yW0DyRhP
dirty south rap,07VmOvmuBp9G0gb8BTrpn0
canadian hip hop,7rkW85dBwwrJtlHRDkJDAC
canadian trap,7rkW85dBwwrJtlHRDkJDAC
melodic rap,7rkW85dBwwrJtlHRDkJDAC
rap,7rkW85dBwwrJtlHRDkJDAC
toronto rap,7rkW85dBwwrJtlHRDkJDAC
trap,7rkW85dBwwrJtlHRDkJDAC
movie tunes,29PgYEggDV3cDP9QYTogwv
classic oklahoma country,1nf0nRF0W4ybnJdda00pKY
contemporary country,1nf0nRF0W4ybnJdda00pKY
modern country rock,1nf0nRF0W4ybnJdda00pKY
atl hip hop,29gIYsdyccGoUc6qgkZeTK
indie hip hop,29gIYsdyccGoUc6qgkZeTK
indie hip hop,5rOkxO8Va1CnXhF7nrHMrU
tennessee hip hop,5rOkxO8Va1CnXhF7nrHMrU
underground hip hop,5rOkxO8Va1CnXhF7nrHMrU
cali rap,3tqosLbNFNekyZyO2KJ6qd
musica chihuahuense,6qm0DFounuQWwu6IF0ZGH2
norteno,6qm0DFounuQWwu6IF0ZGH2
norteno-sax,6qm0DFounuQWwu6IF0ZGH2
sad sierreno,6qm0DFounuQWwu6IF0ZGH2
sierreno,6qm0DFounuQWwu6IF0ZGH2
reggaeton colombiano,0SSbTivuMrvdqgCt7ln6jD
urbano latino,0SSbTivuMrvdqgCt7ln6jD
alternative americana,3vDpQbGnzRbRVirXlfQagB
kentucky roots,3vDpQbGnzRbRVirXlfQagB
nashville singer-songwriter,3vDpQbGnzRbRVirXlfQagB
new americana,3vDpQbGnzRbRVirXlfQagB
outlaw country,3vDpQbGnzRbRVirXlfQagB
reggaeton,1fctva4kpRbg2k3v7kwRuS
trap latino,1fctva4kpRbg2k3v7kwRuS
urbano latino,1fctva4kpRbg2k3v7kwRuS
bedroom soul,4ETSs924pXMzjIeD6E9b4u
latintronica,0MoaBi6dSquXp6rrlqlF8R
puerto rican indie,0MoaBi6dSquXp6rrlqlF8R
hip hop,4LLpKhyESsyAXpc4laK94U
pittsburgh rap,4LLpKhyESsyAXpc4laK94U
rap,4LLpKhyESsyAXpc4laK94U
modern country pop,5rjz63sgMaAUAyBMyCUK5D
indie folk,7K5Lm5dxoEwEpOS0Fc3l3s
australian hip hop,1uU7g3DNSbsu0QjSEqZtEd
hip hop,2rhFzFmezpnW82MNqEKVry
miami hip hop,2rhFzFmezpnW82MNqEKVry
