artist_id,artist_name,artist_popularity,artist_followers
6ipASreqbHk6a7aR2xo9BW,The Noisy Outdoors,53,86
2as15AH2BTrPk8v4gyElmr,Rhenzy Feliz,58,2533
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,85,42246229
08GfvCW09pv2QP4y9sle2a,Sam Barber,65,78957
0A0FS04o6zMoto8OKPsDwY,YG,75,3085667
1tjQoCGs4X0H7gkBoXno3p,FlexOnDaTrack,33,138
3aHe9rMa5HFTjXHw8tEz0A,Jenna Raine,55,108218
59wfkuBoNyhDMQGCljbUbA,Diddy,73,1469035
0mA4dkNGiN4fqTBi2SLlAv,Edgardo Nuñez,73,542815
6RY7kT6PGGzAA3TG3s4Qmp,Karlae,35,7971
5uNC6r2ozOi3dwcQjzowJl,Hector Rubio,39,7
2n2RSaZqBuUUukhbLlpnE6,Sleep Token,70,404459
5kkVPwCLmdkqaSQpptZtXj,Kingpin Skinny Pimp,62,51563
73BLwSX6gsNeVzS7DgI4xe,grentperez,64,328434
03LEDukdM723NRLz4UXeNv,nascar aloe,53,170531
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,77,5089130
6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad,67,1277602
5YlfEcVGygV1M3jH9GxkU7,Doodie Lo,55,40600
4b3DUSYA69Wfn0AmgD0Zaj,Montana99,60,25592
1v3tdpIdBSW14rHUfiEVOv,Lauren Alaina,66,595503
0ZUyFEafMwocvApBjTXvdo,This Is The Kit,46,97178
1WMwuNKzEFtU6pPkdtryYS,Kendo Kaponi,66,1062809
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,82,2898994
50hkKRxo0g8Ck4JqlwoJr4,Cochren & Co.,58,40956
55Aa2cqylxrFIXC767Z865,Lil Wayne,86,13533325
0TKFPt9w0AAEnhB9bd0pLy,LUM!X,70,140040
5hhgghBFkLDdMn93GW4x3I,OG Parker,55,20290
