track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
4wcBRRpIfesgcyUtis7PEg,0.473,0.203,-12.627,0.102,0.941,0.0,0.126,0.419,168.884,163587,78
075qcpR3BnxD5CWUIx1HTr,0.553,0.884,-5.306,0.0771,0.0921,0.00033,0.0463,0.248,110.074,185280,78
1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,-4.053,0.286,0.000866,0.0,0.108,0.227,150.062,236524,78
6HIIuuUIEzH1meVdGbMXyf,0.436,0.4,-6.521,0.11,0.463,0.0,0.76,0.568,75.576,189050,78
0UzymivvUH5s8z4PeWZJaK,0.6,0.713,-5.079,0.0592,0.0642,0.0,0.142,0.471,72.999,172107,78
6v0UJD4a2FtleHeSYVX02A,0.437,0.565,-5.596,0.0466,0.697,0.0,0.119,0.306,115.389,376169,78
5mnpMkzp3Z2RCCbwIEZCbv,0.805,0.816,-4.685,0.346,0.363,0.826,0.121,0.338,124.966,141343,78
5B0kgjHULYJhAQkK5XsMoC,0.493,0.653,-5.666,0.0466,0.269,0.0,0.511,0.852,142.347,121573,78
25VQoiuyc0HkC5FQTj1a8G,0.365,0.541,-7.489,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,232093,78
5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,-4.878,0.102,0.216,0.0,0.0608,0.479,124.111,183726,78
5902W4uHWzhtOff1UK7the,0.685,0.886,-4.179,0.034,0.028,0.0,0.481,0.615,125.034,161267,78
6D2TCm4nf5nxAcdGJ7w3QP,0.903,0.817,-3.972,0.095,0.0272,0.000311,0.242,0.732,102.014,217360,77
3IAfUEeaXRX9s9UdKOJrFI,0.812,0.736,-5.421,0.0833,0.152,0.00254,0.0914,0.396,91.993,193806,77
5AihIu9yF3flkw1jFMyfwW,0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.08,221520,77
0kAZ3H6G9Zac4PMpmobMkj,0.472,0.701,-3.72,0.0279,0.091,0.0,0.23,0.304,147.854,237022,77
4CkgMiMqZ5JzW9iYXSTMTL,0.391,0.715,-4.516,0.0495,0.167,0.0,0.183,0.473,149.654,285107,77
2pUhY7tWx8egpw2qn84iSi,0.161,1.0,-17.037,0.0419,0.914,0.881,0.943,1e-05,81.756,146000,77
2N8m6CYs74qQO4mjVcXO30,0.824,0.587,-6.401,0.0937,0.69,0.000105,0.149,0.514,98.029,209438,77
7uo2L5FAja3pWIBa3HJVeC,0.68,0.406,-11.313,0.0414,0.782,0.00019,0.11,0.551,119.901,60333,77
5UlnuulVAVmmesw4VzqHdG,0.722,0.745,-4.164,0.256,0.247,0.0,0.419,0.52,77.029,173381,77
6MCjmGYlw6mQVWRFVgBRvB,0.663,0.871,-5.287,0.03,0.00299,1.8e-06,0.337,0.826,130.025,258840,77
6Yard5LK4aXEn0kBKtHSob,0.557,0.66,-4.467,0.0768,0.118,0.0,0.085,0.907,128.179,202022,77
52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,-8.516,0.0834,0.357,0.0,0.111,0.83,205.863,216120,77
4T6FWA703h6H7zk1FoSARw,0.826,0.694,-7.862,0.0315,0.316,0.0285,0.074,0.852,123.932,217427,77
5rGJkSCM6ZDi69eZb7qoNx,0.612,0.625,-8.509,0.0368,0.4,0.0,0.0936,0.942,91.436,181434,77
3yII7UwgLF6K5zW3xad3MP,0.642,0.695,-5.62,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,230960,77
0aZnyTWJNgdzYoOiaW8HKG,0.515,0.704,-5.25,0.206,0.767,0.0,0.415,0.885,91.246,217213,77
1Fhb9iJPufNMZSwupsXiRe,0.711,0.747,-6.335,0.0523,0.459,0.0,0.0957,0.852,136.0,166023,77
4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,-4.865,0.0436,0.0513,0.0,0.106,0.46,160.087,224213,77
2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,-10.706,0.0898,0.753,0.0,0.219,0.269,88.485,202827,77
6lX6l7OuA3qrnIRfdsr0dw,0.787,0.7,-4.598,0.0768,0.568,0.00051,0.663,0.791,90.02,233453,77
67BtfxlNbhBmCDR2L2l8qd,0.61,0.508,-6.682,0.152,0.297,0.0,0.384,0.758,178.818,137876,77
