album_track,track_name,album_id,album_name,RPG,공포,로그라이크,배틀로얄,생존,스토리,스포츠,슈팅,시뮬레이션,액션,어드벤쳐,잠입,전략,퍼즐,플랫포머,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
2jn2wNfVZRKDmpChcAGo37,Love and Madness,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.668,0.863,-3.472,0.0525,0.0241,0.000175,0.207,0.399,110.003,209491,31
1uAnBm1hMBWkIFdRwXfCOK,You're Mine,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.449,0.984,-4.879,0.0796,6.09e-06,0.951,0.243,0.397,142.028,378592,48
4NjS3fRbr5r7JS5em1hd7F,A Big Day,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0737,0.087,-24.103,0.0389,0.556,0.865,0.112,0.0314,72.784,153600,30
31cNfeFWpJYJ0rPeLTzXDk,Something Memorable,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.581,0.888,-8.148,0.0475,0.000785,0.676,0.0853,0.0606,124.998,359459,35
4CBdriBzXUZHpQlcyQ6ODJ,A Monster,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.549,0.828,-5.171,0.0334,0.198,0.17,0.0962,0.229,104.998,259947,44
6PGZsRLVpFhHbJLoL2xawa,You Are the End,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.644,0.956,-4.29,0.108,0.245,0.509,0.316,0.859,125.006,138633,39
72sZpOwollMmZxoRB5hEGd,My Only Chance,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.587,0.685,-6.516,0.0286,0.0393,0.00307,0.197,0.244,110.077,408020,50
7EloFI1ED8yDiPJWL1Gbjs,Shambles,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.362,0.983,-6.379,0.235,0.122,0.884,0.329,0.153,175.962,365453,29
0g7S3JquNLgjMyIv7vdcaE,7.53,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.291,0.58,-7.703,0.037,0.434,0.918,0.657,0.163,122.047,157377,35
50bJvQSgfHFeZImFfp4QK4,8.02,2HrVkjNMJVNcjUSWxUzyCR,A Hat in Time (Original Game Soundtrack),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.658,0.875,-4.339,0.0467,0.00114,0.627,0.305,0.212,122.035,267541,40
