track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6hy9IkiPT2516oFewjvLcv,0.344,0.445,-13.711,0.0372,0.433,0.918,0.0718,0.105,95.948,169994
31O4FsKvOkRfXZs7SdzaeS,0.54,0.771,-10.716,0.0335,0.0207,0.925,0.135,0.0899,124.13,201041
4OTplOcUbqVcBVLVexGb8o,0.378,0.544,-12.033,0.0368,0.644,0.889,0.0853,0.0331,159.884,173813
20cl2GKkPPFb6bbXcXjnwv,0.492,0.514,-11.285,0.0386,0.145,0.931,0.089,0.451,118.743,112910
7uwmKVQW1fjrW73pPcc8b0,0.264,0.238,-18.101,0.0307,0.613,0.854,0.0924,0.0489,107.979,314736
709VlbVBMRxHcZRfpwj2gK,0.478,0.391,-16.368,0.0355,0.281,0.836,0.114,0.0681,109.946,245646
7bZ6ExGlh4DKMPI1AEa0aC,0.327,0.38,-16.84,0.0501,0.355,0.882,0.11,0.0386,92.021,201601
2vwWL3qoD4ApDdXlCv0VGc,0.295,0.288,-17.994,0.0276,0.324,0.79,0.117,0.147,89.823,144512
0lpRQ4GmWJ1eVuh9A7KigA,0.286,0.508,-11.489,0.0569,0.387,0.873,0.0815,0.12,124.446,195119
70i3GCeFPpnhaC9oGkbypv,0.322,0.318,-16.301,0.0443,0.487,0.857,0.106,0.04,83.871,364246
10QFIBFSFHIkSkv3Qp0ZF6,0.561,0.737,-12.377,0.0336,0.13,0.936,0.171,0.115,111.973,144835
3pUiwts6V7X4vA7Omlo84J,0.728,0.585,-13.505,0.0419,0.516,0.922,0.113,0.589,99.987,122440
6Ia8BBNJ8C8uOoXpiAKuLL,0.593,0.588,-10.699,0.0365,0.332,0.854,0.111,0.106,150.017,177136
7HC2dUiukgeEPbDxSFVfK6,0.615,0.616,-10.086,0.0393,0.14,0.843,0.0675,0.132,120.005,190606
1rpr2L0grLXVZGTYKrxJyJ,0.453,0.501,-12.757,0.0354,0.0319,0.9,0.122,0.181,67.465,185207
